"music_id","title","artist","album_cover","emotion_genre"
1,"Golden","HUNTR/X","https://cdnimg.melon.co.kr/cm2/album/images/118/59/863/11859863_20250620104512_500.jpg/melon/resize/120/quality/80/optimize","응원"
2,"청춘만화","이무진","https://cdnimg.melon.co.kr/cm2/album/images/116/08/521/11608521_20241004161722_500.jpg/melon/resize/120/quality/80/optimize","응원"
3,"HAPPY","DAY6 (데이식스)","https://cdnimg.melon.co.kr/cm2/album/images/114/44/397/11444397_20240318115810_500.jpg/melon/resize/120/quality/80/optimize","응원"
4,"REBEL HEART","IVE (아이브)","https://cdnimg.melon.co.kr/cm2/album/images/116/89/783/11689783_20250203110601_500.jpg/melon/resize/120/quality/80/optimize","응원"
5,"한 페이지가 될 수 있게","DAY6 (데이식스)","https://cdnimg.melon.co.kr/cm/album/images/103/07/346/10307346_500.jpg/melon/resize/120/quality/80/optimize","응원"
6,"소나기","이클립스 (ECLIPSE)","https://cdnimg.melon.co.kr/cm2/album/images/114/59/325/11459325_20240405171054_500.jpg/melon/resize/120/quality/80/optimize","응원"
7,"Welcome to the Show","DAY6 (데이식스)","https://cdnimg.melon.co.kr/cm2/album/images/114/44/397/11444397_20240318115810_500.jpg/melon/resize/120/quality/80/optimize","응원"
8,"I AM","IVE (아이브)","https://cdnimg.melon.co.kr/cm2/album/images/112/11/297/11211297_20230410151046_500.jpg/melon/resize/120/quality/80/optimize","응원"
9,"Love wins all","아이유","https://cdnimg.melon.co.kr/cm2/album/images/114/04/142/11404142_20240220141548_500.jpg/melon/resize/120/quality/80/optimize","응원"
10,"I DO ME","KiiiKiii (키키)","https://cdnimg.melon.co.kr/cm2/album/images/117/15/826/11715826_20250324115745_500.jpg/melon/resize/120/quality/80/optimize","응원"
11,"나는 아픈 건 딱 질색이니까","i-dle (아이들)","https://cdnimg.melon.co.kr/cm2/album/images/114/02/655/11402655_20240129121016_500.jpg/melon/resize/120/quality/80/optimize","응원"
12,"너와의 모든 지금","재쓰비 (JAESSBEE)","https://cdnimg.melon.co.kr/cm2/album/images/116/37/218/11637218_20241108150236_500.jpg/melon/resize/120/quality/80/optimize","응원"
13,"녹아내려요","DAY6 (데이식스)","https://cdnimg.melon.co.kr/cm2/album/images/115/80/616/11580616_20240830171855_500.jpg/melon/resize/120/quality/80/optimize","응원"
14,"사건의 지평선","윤하 (YOUNHA)","https://cdnimg.melon.co.kr/cm2/album/images/109/03/868/10903868_20220330103544_500.jpg/melon/resize/120/quality/80/optimize","응원"
15,"I Don't Think That I Like Her","Charlie Puth","https://cdnimg.melon.co.kr/cm2/album/images/108/44/485/10844485_20221006154824_500.jpg/melon/resize/120/quality/80/optimize","응원"
16,"Spicy","aespa","https://cdnimg.melon.co.kr/cm2/album/images/112/36/264/11236264_20230508184331_500.jpg/melon/resize/120/quality/80/optimize","응원"
17,"여행","볼빨간사춘기","https://cdnimg.melon.co.kr/cm/album/images/101/70/069/10170069_500.jpg/melon/resize/120/quality/80/optimize","응원"
18,"파이팅 해야지 (Feat. 이영지)","부석순 (SEVENTEEN)","https://cdnimg.melon.co.kr/cm2/album/images/111/66/539/11166539_20230207143921_500.jpg/melon/resize/120/quality/80/optimize","응원"
19,"신호등","이무진","https://cdnimg.melon.co.kr/cm2/album/images/106/07/796/10607796_20210513201807_500.jpg/melon/resize/120/quality/80/optimize","응원"
20,"Kitsch","IVE (아이브)","https://cdnimg.melon.co.kr/cm2/album/images/112/11/297/11211297_20230410151046_500.jpg/melon/resize/120/quality/80/optimize","응원"
21,"건물 사이에 피어난 장미 (Rose Blossom)","H1-KEY (하이키)","https://cdnimg.melon.co.kr/cm2/album/images/111/40/018/11140018_20230105103451_500.jpg/melon/resize/120/quality/80/optimize","응원"
22,"개화 (Flowering)","LUCY","https://cdnimg.melon.co.kr/cm2/album/images/104/28/038/10428038_20200508161504_500.jpg/melon/resize/120/quality/80/optimize","응원"
23,"Maybe Tomorrow","DAY6 (데이식스)","https://cdnimg.melon.co.kr/cm2/album/images/117/96/328/11796328_20250502150840_500.jpg/melon/resize/120/quality/80/optimize","응원"
24,"Live My Life","aespa","https://cdnimg.melon.co.kr/cm2/album/images/114/87/023/11487023_20240527154018_500.jpg/melon/resize/120/quality/80/optimize","응원"
25,"후라이의 꿈","AKMU (악뮤)","https://cdnimg.melon.co.kr/cm2/album/images/113/09/190/11309190_20230818161008_500.jpg/melon/resize/120/quality/80/optimize","응원"
26,"청바지","부석순 (SEVENTEEN)","https://cdnimg.melon.co.kr/cm2/album/images/116/87/296/11687296_20250108103647_500.jpg/melon/resize/120/quality/80/optimize","응원"
27,"행운을 빌어 줘","원필 (DAY6)","https://cdnimg.melon.co.kr/cm2/album/images/108/58/581/10858581_20220207121732_500.jpg/melon/resize/120/quality/80/optimize","응원"
28,"TOMBOY","i-dle (아이들)","https://cdnimg.melon.co.kr/cm2/album/images/108/90/384/10890384_20220314111504_500.jpg/melon/resize/120/quality/80/optimize","응원"
29,"Girls Never Die","tripleS (트리플에스)","https://cdnimg.melon.co.kr/cm2/album/images/114/82/512/11482512_20240507163129_500.jpg/melon/resize/120/quality/80/optimize","응원"
30,"METEOR","창모 (CHANGMO)","https://cdnimg.melon.co.kr/cm2/album/images/103/59/162/10359162_500.jpg/melon/resize/120/quality/80/optimize","응원"
31,"순정 (純情)","코요태","https://cdnimg.melon.co.kr/cm/album/images/000/04/936/4936_500.jpg/melon/resize/120/quality/80/optimize","응원"
32,"우연히 봄","로꼬","https://cdnimg.melon.co.kr/cm/album/images/023/12/287/2312287_500.jpg/melon/resize/120/quality/80/optimize","응원"
33,"Teddy Bear","STAYC(스테이씨)","https://cdnimg.melon.co.kr/cm2/album/images/111/65/170/11165170_20230214120544_500.jpg/melon/resize/120/quality/80/optimize","응원"
34,"내 손을 잡아","아이유","https://cdnimg.melon.co.kr/cm/album/images/012/86/252/1286252_500.jpg/melon/resize/120/quality/80/optimize","응원"
35,"나에게로 떠나는 여행","버즈","https://cdnimg.melon.co.kr/cm2/album/images/003/00/646/300646_20230306155609_500.jpg/melon/resize/120/quality/80/optimize","응원"
36,"Celebrity","아이유","https://cdnimg.melon.co.kr/cm2/album/images/105/54/246/10554246_20210325161233_500.jpg/melon/resize/120/quality/80/optimize","응원"
37,"I Ain't Worried","OneRepublic","https://cdnimg.melon.co.kr/cm2/album/images/109/67/172/10967172_20220525095420_500.jpg/melon/resize/120/quality/80/optimize","응원"
38,"오르트구름","윤하 (YOUNHA)","https://cdnimg.melon.co.kr/cm2/album/images/107/78/556/10778556_20211116105621_500.jpg/melon/resize/120/quality/80/optimize","응원"
39,"ANTIFRAGILE","LE SSERAFIM (르세라핌)","https://cdnimg.melon.co.kr/cm2/album/images/110/78/496/11078496_20221014153848_500.jpg/melon/resize/120/quality/80/optimize","응원"
40,"시작","가호 (Gaho)","https://cdnimg.melon.co.kr/cm2/album/images/103/81/712/10381712_20200131110358_500.jpg/melon/resize/120/quality/80/optimize","응원"
41,"아주 NICE","세븐틴 (SEVENTEEN)","https://cdnimg.melon.co.kr/cm/album/images/026/95/228/2695228_500.jpg/melon/resize/120/quality/80/optimize","응원"
42,"안녕 (Hello)","조이 (JOY)","https://cdnimg.melon.co.kr/cm2/album/images/106/14/899/10614899_20210531150225_500.jpg/melon/resize/120/quality/80/optimize","응원"
43,"흰수염고래","YB (윤도현 밴드)","https://cdnimg.melon.co.kr/cm/album/images/020/37/979/2037979_500.jpg/melon/resize/120/quality/80/optimize","응원"
44,"CHEER UP","TWICE (트와이스)","https://cdnimg.melon.co.kr/cm/album/images/026/81/333/2681333_500.jpg/melon/resize/120/quality/80/optimize","응원"
45,"행복했던 날들이었다","DAY6 (데이식스)","https://cdnimg.melon.co.kr/cm/album/images/102/31/033/10231033_500.jpg/melon/resize/120/quality/80/optimize","응원"
46,"라일락","아이유","https://cdnimg.melon.co.kr/cm2/album/images/105/54/246/10554246_20210325161233_500.jpg/melon/resize/120/quality/80/optimize","응원"
47,"내가 제일 잘 나가","2NE1","https://cdnimg.melon.co.kr/cm/album/images/013/15/551/1315551_500.jpg/melon/resize/120/quality/80/optimize","응원"
48,"형 (兄)","노라조","https://cdnimg.melon.co.kr/cm/album/images/008/62/952/862952_500.jpg/melon/resize/120/quality/80/optimize","응원"
49,"Viva La Vida","Coldplay","https://cdnimg.melon.co.kr/cm/album/images/004/49/451/449451_500.jpg/melon/resize/120/quality/80/optimize","응원"
50,"SMILEY (Feat. BIBI)","YENA (최예나)","https://cdnimg.melon.co.kr/cm2/album/images/108/42/611/10842611_20220117110002_500.jpg/melon/resize/120/quality/80/optimize","응원"
51,"Golden","HUNTR/X","https://cdnimg.melon.co.kr/cm2/album/images/118/59/863/11859863_20250620104512_500.jpg/melon/resize/120/quality/80/optimize","응원"
52,"청춘만화","이무진","https://cdnimg.melon.co.kr/cm2/album/images/116/08/521/11608521_20241004161722_500.jpg/melon/resize/120/quality/80/optimize","응원"
53,"HAPPY","DAY6 (데이식스)","https://cdnimg.melon.co.kr/cm2/album/images/114/44/397/11444397_20240318115810_500.jpg/melon/resize/120/quality/80/optimize","응원"
54,"REBEL HEART","IVE (아이브)","https://cdnimg.melon.co.kr/cm2/album/images/116/89/783/11689783_20250203110601_500.jpg/melon/resize/120/quality/80/optimize","응원"
55,"한 페이지가 될 수 있게","DAY6 (데이식스)","https://cdnimg.melon.co.kr/cm/album/images/103/07/346/10307346_500.jpg/melon/resize/120/quality/80/optimize","응원"
56,"소나기","이클립스 (ECLIPSE)","https://cdnimg.melon.co.kr/cm2/album/images/114/59/325/11459325_20240405171054_500.jpg/melon/resize/120/quality/80/optimize","응원"
57,"Welcome to the Show","DAY6 (데이식스)","https://cdnimg.melon.co.kr/cm2/album/images/114/44/397/11444397_20240318115810_500.jpg/melon/resize/120/quality/80/optimize","응원"
58,"I AM","IVE (아이브)","https://cdnimg.melon.co.kr/cm2/album/images/112/11/297/11211297_20230410151046_500.jpg/melon/resize/120/quality/80/optimize","응원"
59,"Love wins all","아이유","https://cdnimg.melon.co.kr/cm2/album/images/114/04/142/11404142_20240220141548_500.jpg/melon/resize/120/quality/80/optimize","응원"
60,"I DO ME","KiiiKiii (키키)","https://cdnimg.melon.co.kr/cm2/album/images/117/15/826/11715826_20250324115745_500.jpg/melon/resize/120/quality/80/optimize","응원"
61,"나는 아픈 건 딱 질색이니까","i-dle (아이들)","https://cdnimg.melon.co.kr/cm2/album/images/114/02/655/11402655_20240129121016_500.jpg/melon/resize/120/quality/80/optimize","응원"
62,"너와의 모든 지금","재쓰비 (JAESSBEE)","https://cdnimg.melon.co.kr/cm2/album/images/116/37/218/11637218_20241108150236_500.jpg/melon/resize/120/quality/80/optimize","응원"
63,"녹아내려요","DAY6 (데이식스)","https://cdnimg.melon.co.kr/cm2/album/images/115/80/616/11580616_20240830171855_500.jpg/melon/resize/120/quality/80/optimize","응원"
64,"사건의 지평선","윤하 (YOUNHA)","https://cdnimg.melon.co.kr/cm2/album/images/109/03/868/10903868_20220330103544_500.jpg/melon/resize/120/quality/80/optimize","응원"
65,"I Don't Think That I Like Her","Charlie Puth","https://cdnimg.melon.co.kr/cm2/album/images/108/44/485/10844485_20221006154824_500.jpg/melon/resize/120/quality/80/optimize","응원"
66,"Spicy","aespa","https://cdnimg.melon.co.kr/cm2/album/images/112/36/264/11236264_20230508184331_500.jpg/melon/resize/120/quality/80/optimize","응원"
67,"여행","볼빨간사춘기","https://cdnimg.melon.co.kr/cm/album/images/101/70/069/10170069_500.jpg/melon/resize/120/quality/80/optimize","응원"
68,"파이팅 해야지 (Feat. 이영지)","부석순 (SEVENTEEN)","https://cdnimg.melon.co.kr/cm2/album/images/111/66/539/11166539_20230207143921_500.jpg/melon/resize/120/quality/80/optimize","응원"
69,"신호등","이무진","https://cdnimg.melon.co.kr/cm2/album/images/106/07/796/10607796_20210513201807_500.jpg/melon/resize/120/quality/80/optimize","응원"
70,"Kitsch","IVE (아이브)","https://cdnimg.melon.co.kr/cm2/album/images/112/11/297/11211297_20230410151046_500.jpg/melon/resize/120/quality/80/optimize","응원"
71,"건물 사이에 피어난 장미 (Rose Blossom)","H1-KEY (하이키)","https://cdnimg.melon.co.kr/cm2/album/images/111/40/018/11140018_20230105103451_500.jpg/melon/resize/120/quality/80/optimize","응원"
72,"개화 (Flowering)","LUCY","https://cdnimg.melon.co.kr/cm2/album/images/104/28/038/10428038_20200508161504_500.jpg/melon/resize/120/quality/80/optimize","응원"
73,"Maybe Tomorrow","DAY6 (데이식스)","https://cdnimg.melon.co.kr/cm2/album/images/117/96/328/11796328_20250502150840_500.jpg/melon/resize/120/quality/80/optimize","응원"
74,"Live My Life","aespa","https://cdnimg.melon.co.kr/cm2/album/images/114/87/023/11487023_20240527154018_500.jpg/melon/resize/120/quality/80/optimize","응원"
75,"후라이의 꿈","AKMU (악뮤)","https://cdnimg.melon.co.kr/cm2/album/images/113/09/190/11309190_20230818161008_500.jpg/melon/resize/120/quality/80/optimize","응원"
76,"청바지","부석순 (SEVENTEEN)","https://cdnimg.melon.co.kr/cm2/album/images/116/87/296/11687296_20250108103647_500.jpg/melon/resize/120/quality/80/optimize","응원"
77,"행운을 빌어 줘","원필 (DAY6)","https://cdnimg.melon.co.kr/cm2/album/images/108/58/581/10858581_20220207121732_500.jpg/melon/resize/120/quality/80/optimize","응원"
78,"TOMBOY","i-dle (아이들)","https://cdnimg.melon.co.kr/cm2/album/images/108/90/384/10890384_20220314111504_500.jpg/melon/resize/120/quality/80/optimize","응원"
79,"Girls Never Die","tripleS (트리플에스)","https://cdnimg.melon.co.kr/cm2/album/images/114/82/512/11482512_20240507163129_500.jpg/melon/resize/120/quality/80/optimize","응원"
80,"METEOR","창모 (CHANGMO)","https://cdnimg.melon.co.kr/cm2/album/images/103/59/162/10359162_500.jpg/melon/resize/120/quality/80/optimize","응원"
81,"순정 (純情)","코요태","https://cdnimg.melon.co.kr/cm/album/images/000/04/936/4936_500.jpg/melon/resize/120/quality/80/optimize","응원"
82,"우연히 봄","로꼬","https://cdnimg.melon.co.kr/cm/album/images/023/12/287/2312287_500.jpg/melon/resize/120/quality/80/optimize","응원"
83,"Teddy Bear","STAYC(스테이씨)","https://cdnimg.melon.co.kr/cm2/album/images/111/65/170/11165170_20230214120544_500.jpg/melon/resize/120/quality/80/optimize","응원"
84,"내 손을 잡아","아이유","https://cdnimg.melon.co.kr/cm/album/images/012/86/252/1286252_500.jpg/melon/resize/120/quality/80/optimize","응원"
85,"나에게로 떠나는 여행","버즈","https://cdnimg.melon.co.kr/cm2/album/images/003/00/646/300646_20230306155609_500.jpg/melon/resize/120/quality/80/optimize","응원"
86,"Celebrity","아이유","https://cdnimg.melon.co.kr/cm2/album/images/105/54/246/10554246_20210325161233_500.jpg/melon/resize/120/quality/80/optimize","응원"
87,"I Ain't Worried","OneRepublic","https://cdnimg.melon.co.kr/cm2/album/images/109/67/172/10967172_20220525095420_500.jpg/melon/resize/120/quality/80/optimize","응원"
88,"오르트구름","윤하 (YOUNHA)","https://cdnimg.melon.co.kr/cm2/album/images/107/78/556/10778556_20211116105621_500.jpg/melon/resize/120/quality/80/optimize","응원"
89,"ANTIFRAGILE","LE SSERAFIM (르세라핌)","https://cdnimg.melon.co.kr/cm2/album/images/110/78/496/11078496_20221014153848_500.jpg/melon/resize/120/quality/80/optimize","응원"
90,"시작","가호 (Gaho)","https://cdnimg.melon.co.kr/cm2/album/images/103/81/712/10381712_20200131110358_500.jpg/melon/resize/120/quality/80/optimize","응원"
91,"아주 NICE","세븐틴 (SEVENTEEN)","https://cdnimg.melon.co.kr/cm/album/images/026/95/228/2695228_500.jpg/melon/resize/120/quality/80/optimize","응원"
92,"안녕 (Hello)","조이 (JOY)","https://cdnimg.melon.co.kr/cm2/album/images/106/14/899/10614899_20210531150225_500.jpg/melon/resize/120/quality/80/optimize","응원"
93,"흰수염고래","YB (윤도현 밴드)","https://cdnimg.melon.co.kr/cm/album/images/020/37/979/2037979_500.jpg/melon/resize/120/quality/80/optimize","응원"
94,"CHEER UP","TWICE (트와이스)","https://cdnimg.melon.co.kr/cm/album/images/026/81/333/2681333_500.jpg/melon/resize/120/quality/80/optimize","응원"
95,"행복했던 날들이었다","DAY6 (데이식스)","https://cdnimg.melon.co.kr/cm/album/images/102/31/033/10231033_500.jpg/melon/resize/120/quality/80/optimize","응원"
96,"라일락","아이유","https://cdnimg.melon.co.kr/cm2/album/images/105/54/246/10554246_20210325161233_500.jpg/melon/resize/120/quality/80/optimize","응원"
97,"내가 제일 잘 나가","2NE1","https://cdnimg.melon.co.kr/cm/album/images/013/15/551/1315551_500.jpg/melon/resize/120/quality/80/optimize","응원"
98,"형 (兄)","노라조","https://cdnimg.melon.co.kr/cm/album/images/008/62/952/862952_500.jpg/melon/resize/120/quality/80/optimize","응원"
99,"Viva La Vida","Coldplay","https://cdnimg.melon.co.kr/cm/album/images/004/49/451/449451_500.jpg/melon/resize/120/quality/80/optimize","응원"
100,"SMILEY (Feat. BIBI)","YENA (최예나)","https://cdnimg.melon.co.kr/cm2/album/images/108/42/611/10842611_20220117110002_500.jpg/melon/resize/120/quality/80/optimize","응원"
101,"어제보다 슬픈 오늘","우디 (Woody)","https://cdnimg.melon.co.kr/cm2/album/images/117/56/010/11756010_20250331135525_500.jpg/melon/resize/120/quality/80/optimize","위로"
102,"청춘만화","이무진","https://cdnimg.melon.co.kr/cm2/album/images/116/08/521/11608521_20241004161722_500.jpg/melon/resize/120/quality/80/optimize","위로"
103,"Never Ending Story","아이유","https://cdnimg.melon.co.kr/cm2/album/images/118/31/781/11831781_20250526162725_500.jpg/melon/resize/120/quality/80/optimize","위로"
104,"HAPPY","DAY6 (데이식스)","https://cdnimg.melon.co.kr/cm2/album/images/114/44/397/11444397_20240318115810_500.jpg/melon/resize/120/quality/80/optimize","위로"
105,"천상연","이창섭","https://cdnimg.melon.co.kr/cm2/album/images/114/21/941/11421941_20240220105008_500.jpg/melon/resize/120/quality/80/optimize","위로"
106,"한 페이지가 될 수 있게","DAY6 (데이식스)","https://cdnimg.melon.co.kr/cm/album/images/103/07/346/10307346_500.jpg/melon/resize/120/quality/80/optimize","위로"
107,"소나기","이클립스 (ECLIPSE)","https://cdnimg.melon.co.kr/cm2/album/images/114/59/325/11459325_20240405171054_500.jpg/melon/resize/120/quality/80/optimize","위로"
108,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지","AKMU (악뮤)","https://cdnimg.melon.co.kr/cm2/album/images/103/31/947/10331947_500.jpg/melon/resize/120/quality/80/optimize","위로"
109,"그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection))","너드커넥션 (Nerd Connection)","https://cdnimg.melon.co.kr/cm2/album/images/113/05/759/11305759_20230814111006_500.jpg/melon/resize/120/quality/80/optimize","위로"
110,"Love wins all","아이유","https://cdnimg.melon.co.kr/cm2/album/images/114/04/142/11404142_20240220141548_500.jpg/melon/resize/120/quality/80/optimize","위로"
111,"주저하는 연인들을 위해","잔나비","https://cdnimg.melon.co.kr/cm/album/images/102/60/858/10260858_500.jpg/melon/resize/120/quality/80/optimize","위로"
112,"너의 모든 순간","성시경","https://cdnimg.melon.co.kr/cm/album/images/022/32/505/2232505_500.jpg/melon/resize/120/quality/80/optimize","위로"
113,"모든 날, 모든 순간 (Every day, Every Moment)","폴킴","https://cdnimg.melon.co.kr/cm/album/images/101/49/492/10149492_500.jpg/melon/resize/120/quality/80/optimize","위로"
114,"인사","범진","https://cdnimg.melon.co.kr/cm2/album/images/108/21/699/10821699_20231205103724_500.jpg/melon/resize/120/quality/80/optimize","위로"
115,"나무","카더가든","https://cdnimg.melon.co.kr/cm/album/images/102/74/611/10274611_500.jpg/melon/resize/120/quality/80/optimize","위로"
116,"너와의 모든 지금","재쓰비 (JAESSBEE)","https://cdnimg.melon.co.kr/cm2/album/images/116/37/218/11637218_20241108150236_500.jpg/melon/resize/120/quality/80/optimize","위로"
117,"yours","데이먼스 이어 (Damons year)","https://cdnimg.melon.co.kr/cm/album/images/102/71/978/10271978_500.jpg/melon/resize/120/quality/80/optimize","위로"
118,"미안해 미워해 사랑해","Crush","https://cdnimg.melon.co.kr/cm2/album/images/114/49/278/11449278_20240322170237_500.jpg/melon/resize/120/quality/80/optimize","위로"
119,"사건의 지평선","윤하 (YOUNHA)","https://cdnimg.melon.co.kr/cm2/album/images/109/03/868/10903868_20220330103544_500.jpg/melon/resize/120/quality/80/optimize","위로"
120,"사랑할 수밖에","볼빨간사춘기","https://cdnimg.melon.co.kr/cm2/album/images/113/82/496/11382496_20231211180054_500.jpg/melon/resize/120/quality/80/optimize","위로"
121,"숲","최유리","https://cdnimg.melon.co.kr/cm2/album/images/110/36/283/11036283_20220823181214_500.jpg/melon/resize/120/quality/80/optimize","위로"
122,"희재","성시경","https://cdnimg.melon.co.kr/cm/album/images/000/28/985/28985_500.jpg/melon/resize/120/quality/80/optimize","위로"
123,"어른","Sondia","https://cdnimg.melon.co.kr/cm/album/images/101/52/984/10152984_500.jpg/melon/resize/120/quality/80/optimize","위로"
